Use,E[r],Sigma,Crisis Beta,Correl,HF,BHMC,Equity,RE,VC,Art,Bitcoin,Cash,,Det,,,
1,10%,12.00%,-0.6,HF,1,0.8,-0.5,-0.3,-0.2,-0.2,-0.2,0,, 1.00 ,1,,
1,10%,30.00%,-0.1,BHMC,0.8,1,-0.3,-0.3,-0.2,-0.2,-0.2,0,, 0.36 ,2,,
1,6%,18.00%,1.0,Equity,-0.5,-0.3,1,0.7,0.8,0.6,0.3,0,, 0.26 ,3,,
1,6%,22.00%,1.0,RE,-0.3,-0.3,0.7,1,0.6,0.5,0.3,0,, 0.12 ,4,,
1,8%,40.00%,1.2,VC,-0.2,-0.2,0.8,0.6,1,0.5,0.5,0,, 0.03 ,5,,
1,5%,30.00%,0.75,Art,-0.2,-0.2,0.6,0.5,0.5,1,0.5,0,, 0.02 ,6,,
1,15%,80.00%,0.5,Bitcoin,-0.2,-0.2,0.3,0.3,0.5,0.5,1,0,, 0.01 ,7,,
1,0%,0.00%,0.0,Cash,0,0,0,0,0,0,0,1,, 0.01 ,8,,
